timestamp,failed_attempts,button_presses,time_since_unlock,class
20,1,0,374,0
40,2,1,772,1
60,8,4,25,2
80,2,0,346,0
100,3,6,601,1
120,5,9,29,2
140,0,2,177,0
160,3,1,662,1
180,5,6,25,2
200,1,3,447,0
220,4,4,640,1
240,9,2,30,2
260,1,0,357,0
280,2,5,782,1
300,5,1,18,2
320,2,3,437,0
340,1,5,862,1
360,8,5,24,2
380,0,1,244,0
400,4,6,348,1
420,7,6,18,2
440,1,3,307,0
460,3,4,494,1
480,8,7,22,2
500,2,2,252,0
520,4,4,485,1
540,6,6,5,2
560,1,0,429,0
580,5,1,177,1
600,9,1,7,2
620,2,3,428,0
640,4,5,291,1
660,6,4,15,2
680,2,3,482,0
700,3,3,466,1
720,7,6,24,2
740,2,1,598,0
760,1,2,670,1
780,8,6,6,2
800,1,0,535,0
820,5,3,653,1
840,8,9,9,2
860,1,1,443,0
880,3,6,877,1
900,8,2,14,2
920,0,0,362,0
940,3,1,709,1
960,8,3,7,2
980,0,1,273,0
1000,3,4,562,1
1020,9,9,5,2
1040,1,3,454,0
1060,1,4,199,1
1080,5,7,20,2
1100,0,0,331,0
1120,3,1,346,1
1140,5,4,8,2
1160,2,1,334,0
1180,3,6,247,1
1200,5,2,17,2
1220,0,3,321,0
1240,1,2,660,1
1260,8,3,7,2
1280,2,2,421,0
1300,5,4,632,1
1320,9,6,21,2
1340,2,0,160,0
1360,1,1,358,1
1380,9,2,19,2
1400,0,3,315,0
1420,4,1,453,1
1440,6,4,14,2
1460,0,2,597,0
1480,3,3,231,1
1500,8,5,10,2
1520,1,0,248,0
1540,2,4,507,1
1560,9,9,8,2
1580,1,3,380,0
1600,2,5,215,1
1620,8,4,23,2
1640,1,1,385,0
1660,1,4,548,1
1680,7,8,1,2
1700,0,2,283,0
1720,4,3,802,1
1740,5,1,12,2
1760,2,1,243,0
1780,1,3,627,1
1800,6,2,1,2
1820,1,3,547,0
1840,5,4,773,1
1860,6,4,25,2
1880,1,2,541,0
1900,3,4,615,1
1920,5,8,18,2
1940,0,2,203,0
1960,1,2,335,1
1980,6,4,28,2
2000,0,1,211,0
2020,5,3,731,1
2040,7,4,14,2
2060,0,1,507,0
2080,4,4,313,1
2100,9,6,17,2
2120,2,1,512,0
2140,1,1,425,1
2160,9,1,20,2
2180,2,1,257,0
2200,1,3,657,1
2220,7,5,30,2
2240,0,2,375,0
2260,5,1,329,1
2280,9,8,13,2
2300,0,2,385,0
2320,4,1,405,1
2340,9,1,14,2
2360,1,2,504,0
2380,5,3,536,1
2400,6,5,29,2
2420,0,0,214,0
2440,4,1,643,1
2460,9,8,24,2
2480,2,1,443,0
2500,1,4,308,1
2520,9,9,20,2
2540,2,1,365,0
2560,1,2,703,1
2580,5,8,13,2
2600,2,2,453,0
2620,4,4,563,1
2640,8,8,11,2
2660,2,1,495,0
2680,4,6,335,1
2700,8,1,7,2
2720,0,0,335,0
2740,5,5,593,1
2760,8,4,9,2
2780,1,3,357,0
2800,4,3,468,1
2820,6,3,26,2
2840,2,3,348,0
2860,2,6,163,1
2880,9,4,12,2
2900,0,3,507,0
2920,3,6,690,1
2940,9,4,7,2
2960,1,3,279,0
2980,1,2,764,1
3000,9,6,9,2
3020,1,0,434,0
3040,5,2,457,1
3060,8,4,20,2
3080,2,0,517,0
3100,1,3,180,1
3120,9,2,16,2
3140,0,3,171,0
3160,4,5,598,1
3180,5,8,25,2
3200,2,0,478,0
3220,1,2,487,1
3240,7,4,6,2
3260,1,1,509,0
3280,5,5,207,1
3300,7,1,16,2
3320,0,2,583,0
3340,5,1,643,1
3360,7,7,16,2
3380,0,0,211,0
3400,5,4,499,1
3420,7,2,9,2
3440,1,1,296,0
3460,3,4,164,1
3480,8,5,4,2
3500,0,0,591,0
3520,4,5,137,1
3540,5,7,7,2
3560,1,3,265,0
3580,2,5,661,1
3600,9,3,15,2
3620,2,1,322,0
3640,2,1,741,1
3660,7,5,30,2
3680,2,3,463,0
3700,2,1,635,1
3720,9,5,22,2
3740,2,0,474,0
3760,3,5,132,1
3780,9,6,25,2
3800,1,1,427,0
3820,4,2,103,1
3840,9,7,25,2
3860,2,1,491,0
3880,4,6,182,1
3900,5,4,25,2
3920,2,3,349,0
3940,3,3,116,1
3960,5,6,12,2
3980,2,3,358,0
4000,2,5,300,1
4020,5,8,4,2
